"Name","Owner","Price",
"DESILVESTRI","bryan",14,
"ROMAGNOLIA","bryan",14,
"PELLEGRINILO","bryan",17,
"RUIZ","bryan",37,
"PINAMONTI","bryan",23,
"MANOLAS","bryan",30,
"KOLAROV","bryan",40,
"ALLAN","bryan",18,
"BARELLA","bryan",22,
"VERDI","bryan",20,
"CRISTIANORONALDO","bryan",167,
"BIRAGHI","bryan",5,
"MALINOVSKYI","bryan",8,
"LUCASLEIVA","bryan",4,
"BONAVENTURA","bryan",12,
"JUWARA","bryan",5,
"GODIN","bryan",9,
"FAZIO","bryan",5,
"BRANCOLINI","bryan",1,
"PETAGNA","bryan",5,
"DZEKO","fedeg",51,
"HIGUAIN","fedeg",51,
"BELOTTI","fedeg",48,
"LUKAKUR","fedemiglia",150,
"PULGAR","fedemiglia",28,
"SAMIR","fedemiglia",6,
"CHIESA","fedemiglia",55,
"RADUI","fedemiglia",4,
"STRYGERLARSEN","fedemiglia",8,
"DAMBROSIO","fedemiglia",16,
"DEPAUL","fedemiglia",20,
"ALEXSANDRO","fedemiglia",15,
"PIATEK","fedemiglia",26,
"MANCINIG","fedemiglia",17,
"LUISALBERTO","fedemiglia",23,
"DONNARUMMAG","fedemiglia",12,
"PJANIC","fedemiglia",50,
"PEZZELLAGER","fedemiglia",8,
"LAZZARIM","fedemiglia",5,
"MATUIDI","fedemiglia",8,
"SANCHEZA","fedemiglia",18,
"MILINKOVICSAVIC","gatti",32,499
"LIROLA","gatti",12,
"GILLI","gatti",7,
"HATEBOER","gatti",16,
"IMMOBILE","gatti",161,
"HANDANOVIC","gatti",36,
"SCHONE","gatti",16,
"DELIGT","gatti",21,
"DUNCAN","gatti",13,
"UNDER","gatti",28,
"TONALI","gatti",10,
"KOUAME","gatti",22,
"SZCZESNY","gatti",26,
"DANILO","gatti",17,
"BASELLI","gatti",6,
"GHOULAM","gatti",5,
"INSIGNE","gatti",25,
"DESCIGLIO","gatti",7,
"CORBO","gatti",7,
"DEVRIJ","gatti",10,
"BENNACER","gatti",4,
"ILICIC","gatti",18,
"ASAMOAH","marco",20,
"DRAGOWSKI","marco",10,
"DOUGLASCOSTA","marco",30,
"ROMULO","marco",12,
"ORSOLINI","marco",25,
"ACERBI","marco",28,
"DILORENZO","marco",25,
"NAINGGOLAN","marco",18,
"DEROON","marco",18,
"INGLESE","marco",30,
"SPINAZZOLA","marco",9,
"SENSI","marco",30,
"BASTOS","marco",6,
"MEITE","marco",15,
"SKRINIAR","marco",24,
"ZANIOLO","marco",19,
"RINCON","marco",7,
"BERNARDESCHI","marco",11,
"CALABRIA","marco",5,
"RANOCCHIA","marco",1,
"MERTENS","marco",50,
"CAPUTO","marco",17,
"BUFFON","marco",5,
"BROZOVIC","marco",15,
"TRAOREHJ","marco",10,
"DYBALA","marco",20,
"CALLEJON","marco",15,
"GERVINHO","marco",5,
"CRISCITO","me",13,
"STRAKOSHA","me",12,
"ZIELINSKI","me",30,
"KURTIC","me",8,
"ZAPATAD","me",111,
"IZZO","me",38,
"NKOULOU","me",5,
"KOULIBALY","me",32,
"POLITANO","me",11,
"KESSIE","me",7,
"BONIFAZI","me",3,
"MURRU","me",3,
"RADU","me",11,
"QUAGLIARELLA","me",50,
"VERETOUT","me",16,
"GOMEZA","me",17,
"BONUCCI","me",20,
"BERISHAE","me",3,
"FLORENZI","me",14,
"MARTINEZL","me",31,
"CHIELLINI","me",1,
"MILENKOVIC","me",7,
"SUSO","me",10,
"MANDRAGORA","me",7,
"NANDEZ","me",9,
"IAGOFALQUE","me",12,
"SUSO","na",1,
"MURRU","na",1,
"POLI","na",1,
"LULIC","na",1,
"HYSAJ","na",1,
"MBAYE","na",1,
"CASTILLEJO","na",1,
"COLLEYE","na",1,
"TOLOI","bryan",5,
"BALOTELLI","me",7,
"ANSALDI","fedemiglia",10,
"RAMSEY","bryan",1,
"KHEDIRA","gatti",1,
"MILIK","fedemiglia",13,
"SIRIGU","bryan",1,
"PROTO","me",1,
"REINA","fedemiglia",1,
"MERET","bryan",1,
"RABIOT","bryan",5,
"OSPINA","bryan",1,
"LEAO","fedemiglia",1,
"MURIEL","bryan",1,
"PELLEGRINILU","fedemiglia",1,
"TOMIYASU","fedemiglia",1,
"RIBERY","bryan",1,
"LINETTY","fedemiglia",1,
