"Name","Owner","Price","CanPlay","OriginalName"
"DESILVESTRI","bryan",14,1,11
"ROMAGNOLIA","bryan",14,1,
"PELLEGRINILO","bryan",17,1,
"RUIZ","bryan",37,1,17
"PINAMONTI","bryan",23,1,
"MANOLAS","bryan",30,1,
"KOLAROV","bryan",40,1,
"ALLAN","bryan",18,1,
"BARELLA","bryan",22,1,
"VERDI","bryan",20,1,
"CRISTIANORONALDO","bryan",167,1,
"BIRAGHI","bryan",5,1,
"MALINOVSKYI","bryan",8,1,11
"LUCASLEIVA","bryan",4,1,
"BONAVENTURA","bryan",12,1,18
"JUWARA","bryan",5,1,
"GODIN","bryan",9,1,
"FAZIO","bryan",5,1,
"BRANCOLINI","bryan",1,0,
"PETAGNA","bryan",5,1,
"TOLOI","bryan",5,1,
"RAMSEY","bryan",1,1,
"SIRIGU","bryan",1,1,
"MERET","bryan",1,1,
"RABIOT","bryan",5,1,
"OSPINA","bryan",1,1,
"MURIEL","bryan",1,1,
"RIBERY","bryan",1,1,
"DZEKO","fedeg",51,1,
"HIGUAIN","fedeg",51,1,
"BELOTTI","fedeg",48,1,
"LUKAKUR","fedemiglia",150,1,
"PULGAR","fedemiglia",28,1,
"SAMIR","fedemiglia",6,1,
"CHIESA","fedemiglia",55,1,
"RADUI","fedemiglia",4,1,
"STRYGERLARSEN","fedemiglia",8,1,
"DAMBROSIO","fedemiglia",16,1,
"DEPAUL","fedemiglia",20,1,
"ALEXSANDRO","fedemiglia",15,1,
"PIATEK","fedemiglia",26,1,
"MANCINIG","fedemiglia",17,1,
"LUISALBERTO","fedemiglia",23,1,
"DONNARUMMAG","fedemiglia",12,1,
"PJANIC","fedemiglia",50,1,
"PEZZELLAGER","fedemiglia",8,1,
"LAZZARIM","fedemiglia",5,1,
"MATUIDI","fedemiglia",8,1,
"SANCHEZA","fedemiglia",18,1,
"ANSALDI","fedemiglia",10,1,
"MILIK","fedemiglia",13,1,
"REINA","fedemiglia",1,1,
"LEAO","fedemiglia",1,1,
"PELLEGRINILU","fedemiglia",1,1,
"TOMIYASU","fedemiglia",1,1,
"LINETTY","fedemiglia",1,1,
"MILINKOVICSAVIC","gatti",32,1,
"LIROLA","gatti",12,1,
"GILLI","gatti",7,1,
"HATEBOER","gatti",16,1,
"IMMOBILE","gatti",161,1,
"HANDANOVIC","gatti",36,1,
"SCHONE","gatti",16,1,
"DELIGT","gatti",21,1,
"DUNCAN","gatti",13,1,
"UNDER","gatti",28,1,
"TONALI","gatti",10,1,
"KOUAME","gatti",22,1,
"SZCZESNY","gatti",26,1,
"DANILO","gatti",17,1,
"BASELLI","gatti",6,1,
"GHOULAM","gatti",5,1,
"INSIGNE","gatti",25,1,
"DESCIGLIO","gatti",7,1,
"CORBO","gatti",7,1,
"DEVRIJ","gatti",10,1,
"BENNACER","gatti",4,1,
"ILICIC","gatti",18,1,
"KHEDIRA","gatti",1,1,
"ASAMOAH","marco",20,1,
"DRAGOWSKI","marco",10,1,
"DOUGLASCOSTA","marco",30,1,
"ROMULO","marco",12,1,
"ORSOLINI","marco",25,1,
"ACERBI","marco",28,1,
"DILORENZO","marco",25,1,
"NAINGGOLAN","marco",18,1,
"DEROON","marco",18,1,
"INGLESE","marco",30,1,
"SPINAZZOLA","marco",9,1,
"SENSI","marco",30,1,
"BASTOS","marco",6,1,
"MEITE","marco",15,1,
"SKRINIAR","marco",24,1,
"ZANIOLO","marco",19,1,
"RINCON","marco",7,1,
"BERNARDESCHI","marco",11,1,
"CALABRIA","marco",5,1,
"RANOCCHIA","marco",1,1,
"MERTENS","marco",50,1,
"CAPUTO","marco",17,1,
"BUFFON","marco",5,1,
"BROZOVIC","marco",15,1,
"TRAOREHJ","marco",10,1,
"DYBALA","marco",20,1,
"CALLEJON","marco",15,1,
"GERVINHO","marco",5,1,
"CRISCITO","me",13,1,"CRISCITO"
"STRAKOSHA","me",12,1,"STRAKOSHA"
"ZIELINSKI","me",30,1,"ZIELINSKI"
"KURTIC","me",8,1,"KURTIC"
"ZAPATAD","me",111,1,"ZAPATA D"
"IZZO","me",38,1,"IZZO"
"NKOULOU","me",5,1,"NKOULOU"
"KOULIBALY","me",32,1,"KOULIBALY"
"POLITANO","me",11,1,"POLITANO"
"KESSIE","me",7,1,"KESSIE"
"BONIFAZI","me",3,1,"BONIFAZI"
"MURRU","me",3,1,"MURRU"
"RADU","me",11,1,"RADU"
"QUAGLIARELLA","me",50,1,"QUAGLIARELLA"
"VERETOUT","me",16,1,"VERETOUT"
"GOMEZA","me",17,1,"GOMEZ A"
"BONUCCI","me",20,1,"BONUCCI"
"BERISHAE","me",3,1,"BERISHA E"
"FLORENZI","me",14,1,"FLORENZI"
"MARTINEZL","me",31,1,"MARTINEZ L"
"CHIELLINI","me",1,1,"CHIELLINI"
"MILENKOVIC","me",7,1,"MILENKOVIC"
"SUSO","me",10,1,"SUSO"
"MANDRAGORA","me",7,1,"MANDRAGORA"
"NANDEZ","me",9,1,"NANDEZ"
"IAGOFALQUE","me",12,1,"IAGO FALQUE"
"BALOTELLI","me",7,1,"BALOTELLI"
"PROTO","me",1,1,"PROTO"
"POLI","na",1,1,
"LULIC","na",1,1,
"HYSAJ","na",1,1,
"MBAYE","na",1,1,
"CASTILLEJO","na",1,1,
"COLLEYE","na",1,1,
